# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
6

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,PodGeom,0,CYTXVPRPPI,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,19,9
# x,y,z,u,w
5.000000000000000000e+00, -5.000000000000000000e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 3.000000000000000000e+00
5.000000000000000000e+00, -3.534840670925332162e-01, 3.534840670925332162e-01, 1.000000000000000000e+00, 3.500000000000000000e+00
5.000000000000000000e+00, 0.000000000000000000e+00, 5.000000000000000000e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
5.418381344307269920e+00, 0.000000000000000000e+00, 4.877914951989026360e-01, 1.111111111111111160e+00, 0.000000000000000000e+00
5.418381344307269920e+00, 3.448530432321119665e-01, 3.448530432321119665e-01, 1.111111111111111160e+00, 5.000000000000000000e-01
5.418381344307269920e+00, 4.877914951989026360e-01, 0.000000000000000000e+00, 1.111111111111111160e+00, 1.000000000000000000e+00
5.418381344307269920e+00, 3.448530432321119665e-01, -3.448530432321119665e-01, 1.111111111111111160e+00, 1.500000000000000000e+00
5.418381344307269920e+00, 0.000000000000000000e+00, -4.877914951989026360e-01, 1.111111111111111160e+00, 2.000000000000000000e+00
5.418381344307269920e+00, -3.448530432321119665e-01, -3.448530432321119665e-01, 1.111111111111111160e+00, 2.500000000000000000e+00
5.418381344307269920e+00, -4.877914951989026360e-01, 0.000000000000000000e+00, 1.111111111111111160e+00, 3.000000000000000000e+00
5.418381344307269920e+00, -3.448530432321119665e-01, 3.448530432321119665e-01, 1.111111111111111160e+00, 3.500000000000000000e+00
5.418381344307269920e+00, 0.000000000000000000e+00, 4.877914951989026360e-01, 1.111111111111111160e+00, 4.000000000000000000e+00
5.976680384087792675e+00, 0.000000000000000000e+00, 4.541838134430726814e-01, 1.222222222222222321e+00, 0.000000000000000000e+00
5.976680384087792675e+00, 3.210934831669073897e-01, 3.210934831669073897e-01, 1.222222222222222321e+00, 5.000000000000000000e-01
5.976680384087792675e+00, 4.541838134430726814e-01, 0.000000000000000000e+00, 1.222222222222222321e+00, 1.000000000000000000e+00
5.976680384087792675e+00, 3.210934831669073897e-01, -3.210934831669073897e-01, 1.222222222222222321e+00, 1.500000000000000000e+00
5.976680384087792675e+00, 0.000000000000000000e+00, -4.541838134430726814e-01, 1.222222222222222321e+00, 2.000000000000000000e+00
5.976680384087792675e+00, -3.210934831669073897e-01, -3.210934831669073897e-01, 1.222222222222222321e+00, 2.500000000000000000e+00
5.976680384087792675e+00, -4.541838134430726814e-01, 0.000000000000000000e+00, 1.222222222222222321e+00, 3.000000000000000000e+00
5.976680384087792675e+00, -3.210934831669073897e-01, 3.210934831669073897e-01, 1.222222222222222321e+00, 3.500000000000000000e+00
5.976680384087792675e+00, 0.000000000000000000e+00, 4.541838134430726814e-01, 1.222222222222222321e+00, 4.000000000000000000e+00
6.629629629629629761e+00, 0.000000000000000000e+00, 4.037037037037037313e-01, 1.333333333333333259e+00, 0.000000000000000000e+00
6.629629629629629761e+00, 2.854056541710083827e-01, 2.854056541710083827e-01, 1.333333333333333259e+00, 5.000000000000000000e-01
6.629629629629629761e+00, 4.037037037037037313e-01, 0.000000000000000000e+00, 1.333333333333333259e+00, 1.000000000000000000e+00
6.629629629629629761e+00, 2.854056541710083827e-01, -2.854056541710083827e-01, 1.333333333333333259e+00, 1.500000000000000000e+00
6.629629629629629761e+00, 0.000000000000000000e+00, -4.037037037037037313e-01, 1.333333333333333259e+00, 2.000000000000000000e+00
6.629629629629629761e+00, -2.854056541710083827e-01, -2.854056541710083827e-01, 1.333333333333333259e+00, 2.500000000000000000e+00
6.629629629629629761e+00, -4.037037037037037313e-01, 0.000000000000000000e+00, 1.333333333333333259e+00, 3.000000000000000000e+00
6.629629629629629761e+00, -2.854056541710083827e-01, 2.854056541710083827e-01, 1.333333333333333259e+00, 3.500000000000000000e+00
6.629629629629629761e+00, 0.000000000000000000e+00, 4.037037037037037313e-01, 1.333333333333333259e+00, 4.000000000000000000e+00
7.331961591220850671e+00, 0.000000000000000000e+00, 3.408779149519890472e-01, 1.444444444444444420e+00, 0.000000000000000000e+00
7.331961591220850671e+00, 2.409898235185034543e-01, 2.409898235185034543e-01, 1.444444444444444420e+00, 5.000000000000000000e-01
7.331961591220850671e+00, 3.408779149519890472e-01, 0.000000000000000000e+00, 1.444444444444444420e+00, 1.000000000000000000e+00
7.331961591220850671e+00, 2.409898235185034543e-01, -2.409898235185034543e-01, 1.444444444444444420e+00, 1.500000000000000000e+00
7.331961591220850671e+00, 0.000000000000000000e+00, -3.408779149519890472e-01, 1.444444444444444420e+00, 2.000000000000000000e+00
7.331961591220850671e+00, -2.409898235185034543e-01, -2.409898235185034543e-01, 1.444444444444444420e+00, 2.500000000000000000e+00
7.331961591220850671e+00, -3.408779149519890472e-01, 0.000000000000000000e+00, 1.444444444444444420e+00, 3.000000000000000000e+00
7.331961591220850671e+00, -2.409898235185034543e-01, 2.409898235185034543e-01, 1.444444444444444420e+00, 3.500000000000000000e+00
7.331961591220850671e+00, 0.000000000000000000e+00, 3.408779149519890472e-01, 1.444444444444444420e+00, 4.000000000000000000e+00
8.038408779149520456e+00, 0.000000000000000000e+00, 2.702331961591220577e-01, 1.555555555555555580e+00, 0.000000000000000000e+00
8.038408779149520456e+00, 1.910462584834816124e-01, 1.910462584834816124e-01, 1.555555555555555580e+00, 5.000000000000000000e-01
8.038408779149520456e+00, 2.702331961591220577e-01, 0.000000000000000000e+00, 1.555555555555555580e+00, 1.000000000000000000e+00
8.038408779149520456e+00, 1.910462584834816124e-01, -1.910462584834816124e-01, 1.555555555555555580e+00, 1.500000000000000000e+00
8.038408779149520456e+00, 0.000000000000000000e+00, -2.702331961591220577e-01, 1.555555555555555580e+00, 2.000000000000000000e+00
8.038408779149520456e+00, -1.910462584834816124e-01, -1.910462584834816124e-01, 1.555555555555555580e+00, 2.500000000000000000e+00
8.038408779149520456e+00, -2.702331961591220577e-01, 0.000000000000000000e+00, 1.555555555555555580e+00, 3.000000000000000000e+00
8.038408779149520456e+00, -1.910462584834816124e-01, 1.910462584834816124e-01, 1.555555555555555580e+00, 3.500000000000000000e+00
8.038408779149520456e+00, 0.000000000000000000e+00, 2.702331961591220577e-01, 1.555555555555555580e+00, 4.000000000000000000e+00
8.703703703703702388e+00, 0.000000000000000000e+00, 1.962962962962964131e-01, 1.666666666666666519e+00, 0.000000000000000000e+00
8.703703703703702388e+00, 1.387752263400316433e-01, 1.387752263400316433e-01, 1.666666666666666519e+00, 5.000000000000000000e-01
8.703703703703702388e+00, 1.962962962962964131e-01, 0.000000000000000000e+00, 1.666666666666666519e+00, 1.000000000000000000e+00
8.703703703703702388e+00, 1.387752263400316433e-01, -1.387752263400316433e-01, 1.666666666666666519e+00, 1.500000000000000000e+00
8.703703703703702388e+00, 0.000000000000000000e+00, -1.962962962962964131e-01, 1.666666666666666519e+00, 2.000000000000000000e+00
