ThickChord,Camber,CamberLoc,TotalChord,TotalSpan,Twist,XLoc,"outputs[""SM""]","outputs[""Cl""]","outputs[""Cd/Cl""]","outputs[""max_RCS""]","outputs[""Tot_Obj""]"
0.1,0.0,0.1,2.0,4.0,3.0,5.0,11.37765292564823,0.005951674924,0.11265858763491834,1.524734730403648,0.8186966590192832
0.1,0.0,0.1,2.0,8.0,0.0,0.0,-17.009997019339103,0.0,inf,0.5453057360371221,inf
0.1,0.0,0.1,1.0,13.0,5.0,3.0,5.448253405748327,0.055285892885,0.03172983279204572,532.9872547573164,266.5094922950542
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3905991259831687,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,5.0,0.0,2.0,-9.708874206213238,0.0,inf,0.9543683944771795,inf
0.1,0.0,0.1,2.0,14.0,1.0,1.0,-4.2923354643166345,0.018452212233,0.11920944622922168,1702.471315184154,851.2952623151916
0.1,0.0,0.1,1.0,10.0,4.0,3.0,2.4969518090327725,0.031361526415,0.03716814531203678,623.701814902236,311.86949152377406
0.1,0.0,0.1,2.0,3.0,4.0,3.0,-11.269843719493293,0.005628434894,0.10612166565819746,1.6621718280501512,0.8841467468541743
0.1,0.0,0.1,2.0,12.0,0.0,2.0,-1.1118919131797966,0.0,inf,1082.622420112703,inf
0.1,0.0,0.1,2.0,6.0,1.0,4.0,6.152383575908216,0.004502124262,0.202267678990154,724.9191265930925,362.56069713604137
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870494622324516,0.060360187561,0.04773114228792614,1083.123646798003,541.5856889701454
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870612203725514,0.060359939854,0.04773130304584084,1083.123646798003,541.5856890505244
0.1,0.0,0.1,1.0,8.0,3.0,5.0,18.949771875371486,0.017501529062,0.04618465650267192,0.794261895632329,0.42022327606750043
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3909426758910683,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,4.0,3.0,5.0,11.377650933637247,0.005951687059,0.11265866490511661,1.524734730403648,0.8186966976543824
0.1,0.0,0.1,2.0,15.0,0.0,2.0,0.7921452499263903,0.0,inf,626.6957830769787,inf
0.1,0.0,0.1,2.0,15.0,1.0,1.0,-3.6129720244154484,0.020475850931,0.11554454478949734,626.6957830769787,313.4056638108841
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39026849793595275,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,15.0,0.0,2.0,0.7920576021804581,0.0,inf,626.6957830769787,inf
0.1,0.0,0.1,2.0,11.0,5.0,3.0,3.529995640617436,0.070398469392,0.0455035601720629,857.3244664396834,428.68498499992774
0.1,0.0,0.1,2.0,11.0,5.0,2.0,-2.314135538954094,0.071361135267,0.04406337323859941,857.3244664396834,428.684264906461
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39034116924614004,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,8.0,0.0,0.0,-17.00975761466458,0.0,inf,0.5453057360371221,inf
0.1,0.0,0.1,1.0,13.0,4.0,5.0,21.37934970941175,0.042758629403,0.03485900773272735,532.9872547573164,266.51105688252454
0.1,0.0,0.1,2.0,13.0,3.0,5.0,14.277814002672509,0.044952220552,0.054433865845835996,652.5784483965008,326.3164411311733
0.1,0.0,0.1,1.0,8.0,3.0,5.0,18.948739671376707,0.017501569124,0.04618464174686878,0.794261895632329,0.42022326868959886
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870518840198649,0.0603599478,0.047731208657539624,1083.123646798003,541.5856890033302
0.1,0.0,0.1,1.0,2.0,0.0,2.0,-19.01713610622456,0.0,inf,9.045350115765828,inf
0.1,0.0,0.1,2.0,13.0,1.0,3.0,4.552360899327876,0.016505577752,0.12335686830188579,652.5784483965008,326.35090263240136
0.1,0.0,0.1,2.0,4.0,3.0,5.0,11.377113100616834,0.00595175216,0.11265682323035442,1.524734730403648,0.8186957768170012
0.1,0.0,0.1,2.0,15.0,1.0,1.0,-3.6130302982130087,0.020475762989,0.11554501638209991,626.6957830769787,313.4056640466804
0.1,0.0,0.1,2.0,6.0,1.0,0.0,-20.366232236227937,0.004680019123,0.19554384543056494,724.9191265930925,362.5573352192616
0.1,0.0,0.1,1.0,13.0,5.0,3.0,5.448466159407639,0.055285846419,0.03172982871068305,532.9872547573164,266.5094922930135
0.1,0.0,0.1,2.0,12.0,0.0,2.0,-1.111752449846115,0.0,inf,1082.622420112703,inf
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870600881376562,0.060359927363,0.0477312898120891,1083.123646798003,541.5856890439076
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3906590233755303,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,12.0,0.0,0.0,-10.952160910934792,0.0,inf,1086.1104380827157,inf
0.1,0.0,0.1,2.0,4.0,4.0,4.0,1.3902998598029281,0.009062514959,0.09025192826718952,1.524734730403648,0.8074933293354187
0.1,0.0,0.1,1.0,9.0,4.0,3.0,0.9839618113149661,0.027585801209,0.03808637081228667,856.3083359596955,428.17321116525386
0.1,0.0,0.1,2.0,6.0,1.0,4.0,6.1493050387385395,0.004502125179,0.20226765867098073,724.9191265930925,362.56069712588175
0.1,0.0,0.1,2.0,14.0,0.0,0.0,-8.792132519872467,0.0,inf,1702.471315184154,inf
0.1,0.0,0.1,2.0,4.0,1.0,1.0,-17.406879103858948,0.00206609741,0.29080701911339213,1.524734730403648,0.90777087475852
0.1,0.0,0.1,2.0,12.0,0.0,2.0,-1.1118678025669126,0.0,inf,1082.622420112703,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39069770423237665,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,13.0,1.0,2.0,-0.398185268412563,0.016783970014,0.12139916296921476,652.5784483965008,326.349923779735
0.1,0.0,0.1,1.0,10.0,4.0,4.0,11.193152720490476,0.032349914004,0.037028317845045476,623.701814902236,311.86942161004055
0.1,0.0,0.1,2.0,12.0,4.0,2.0,1.6700377880539197,0.064687769543,0.04149443370768472,1081.6664808028247,540.8539876182662
0.1,0.0,0.1,2.0,5.0,0.0,4.0,3.4735112648223065,0.0,inf,0.9543683944771795,inf
0.1,0.0,0.1,2.0,12.0,4.0,2.0,1.6721241333942503,0.064703173039,0.041484964089505874,1081.6664808028247,540.8539828834571
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870600488037628,0.060360090713,0.04773117767000796,1083.123646798003,541.5856889878364
0.1,0.0,0.1,1.0,10.0,4.0,3.0,2.4968489214718392,0.031361593648,0.037168068405042165,623.701814902236,311.86949148532057
0.1,0.0,0.1,1.0,2.0,1.0,3.0,-15.609874084760406,0.000611817606,0.2528857268615444,16.968034486377988,8.610460106619767
0.1,0.0,0.1,2.0,9.0,0.0,2.0,-3.9811357481143927,0.0,inf,4.742436161531481,inf
0.1,0.0,0.1,2.0,15.0,1.0,1.0,-3.6129304258953,0.0204758024,0.11554479725785985,626.6957830769787,313.4056639371183
0.1,0.0,0.1,2.0,4.0,3.0,5.0,11.377488936945337,0.005951682017,0.11265840716705078,1.524734730403648,0.8186965687853494
0.1,0.0,0.1,1.0,13.0,0.0,2.0,-2.4381538175578132,0.0,inf,532.9872547573164,inf
0.1,0.0,0.1,2.0,13.0,4.0,5.0,14.600401824373233,0.060449002076,0.04662136533630078,652.5784483965008,326.3125348809185
0.1,0.0,0.1,2.0,15.0,0.0,2.0,0.7920016279399801,0.0,inf,626.6957830769787,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3905968423036299,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,2.0,5.0,5.0,6.580834163279619,0.002742635457,0.14243366029669177,1018.130085966601,509.1362598134488
0.1,0.0,0.1,2.0,12.0,0.0,0.0,-10.952320025443504,0.0,inf,1086.1104380827157,inf
0.1,0.0,0.1,2.0,7.0,5.0,2.0,-8.047039016516111,0.034963915739,0.054775179939693316,614.5617591494271,307.3082671646834
0.1,0.0,0.1,2.0,13.0,3.0,5.0,14.277958953869154,0.044950912543,0.05443488364467128,652.5784483965008,326.31644164007275
0.1,0.0,0.1,2.0,15.0,5.0,2.0,-0.15830120109432855,0.111132016203,0.036108291139701966,629.0201191987221,314.5281137449309
0.1,0.0,0.1,2.0,6.0,0.0,2.0,-8.046842148383812,0.0,inf,724.9191265930925,inf
0.1,0.0,0.1,2.0,12.0,4.0,0.0,-19.495104111717673,0.065548137184,0.04428315623755865,1086.1868528513055,543.1155680037715
0.1,0.0,0.1,2.0,12.0,0.0,2.0,-1.1118371523265136,0.0,inf,1082.622420112703,inf
0.1,0.0,0.1,2.0,5.0,0.0,4.0,3.479415726069046,0.0,inf,0.9543683944771795,inf
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870639834426246,0.060359794184,0.04773128541852617,1083.123646798003,541.5856890417107
0.1,0.0,0.1,1.0,13.0,0.0,2.0,-2.438196560023016,0.0,inf,532.9872547573164,inf
0.1,0.0,0.1,2.0,9.0,0.0,2.0,-3.979972637413258,0.0,inf,4.742436161531481,inf
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870602719975622,0.060359172915,0.047730950506182895,1083.123646798003,541.5856888742545
0.1,0.0,0.1,2.0,15.0,0.0,2.0,0.7922085748784992,0.0,inf,626.6957830769787,inf
0.1,0.0,0.1,1.0,2.0,1.0,3.0,-15.60973886547201,0.000611817127,0.2528859428284687,16.968034486377988,8.61046021460323
0.1,0.0,0.1,2.0,12.0,0.0,0.0,-10.952155164778056,0.0,inf,1086.1104380827157,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39064232494663287,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,13.0,3.0,5.0,14.277973832175677,0.044950687204,0.05443507181314593,652.5784483965008,326.31644173415697
0.1,0.0,0.1,2.0,15.0,1.0,1.0,-3.6129863934156554,0.020475820804,0.11554466190375243,626.6957830769787,313.40566386944124
0.1,0.0,0.1,2.0,11.0,5.0,2.0,-2.3164992182927246,0.071359238799,0.04406148231003918,857.3244664396834,428.6842639609967
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.390636854858899,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,1.0,2.0,0.0,2.0,-19.188945061880638,0.0,inf,9.045350115765828,inf
0.1,0.0,0.1,2.0,14.0,0.0,0.0,-8.792071106818119,0.0,inf,1702.471315184154,inf
0.1,0.0,0.1,2.0,12.0,4.0,2.0,1.6889216140576746,0.064792982702,0.04142774280581382,1081.6664808028247,540.8539542728153
0.1,0.0,0.1,2.0,15.0,0.0,2.0,0.792161576848196,0.0,inf,626.6957830769787,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39096684662162323,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,1.0,9.0,4.0,2.0,-6.670758278629685,0.027775936711,0.03791493885363498,856.3083359596955,428.17312544927455
0.1,0.0,0.1,2.0,12.0,4.0,5.0,14.515994819362144,0.054465093178,0.047732095922496394,1084.917182312308,542.4824572041152
0.1,0.0,0.1,1.0,10.0,4.0,3.0,2.4969924170974434,0.031361408554,0.0371682255595413,623.701814902236,311.8694915638978
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39030383205172825,0.0,inf,652.5784483965008,inf
